date,published_time,post_created_time,produced_by,permalink_url,title,message,primary_category_l0,primary_category,(Undefined)Suggestion for Change in Primary,Primary Category  Suggestion Explaination,Primary_Category_1,Secondary Category,Secondary Category Suggestion 3 or less and comma sep,Secondary Category Suggestion Explaination,Secondary_Category_1,Secondary_Category_1_revisited,video_type,video_type suggestion,Video_Type_1,voice_first_3_seconds,visual_first_3_seconds,visual_first_3_seconds_Other,background_music_type_first_3_seconds,Background Music In Beginning ,Video Format ,Video Length,thumbnail,thumbnail_Sentiment,thumbnail_famous_personality_name,thumbnail_famous_personality_profession,Tags
2020-01-08 , 06:30:15,2020-01-08 06:30:1578465000,SA,https://www.facebook.com/1954072204870360/posts/2547882218822686/,Baby Pragya Medha's Mesmerizing Soulful Duet With Her Mom,"इस बार लिटिल लता दी ने गाया कौन सा गाना?

Jubin Nautiyal",Filmy,Filmy*,,"Internet sensation, something that is already viral on social media",Entertainment,Viral,Anything thats popular over internet,,"Music, X-Factor","Music, X-Factor",Entertaining,,"Entertaining, Viral", common voice (optv),commoner (np),,no music,No,square,,Commoner,Happy ,,,"Bollywood, pragya medha singing Kabir singh, Pragya medha with her mom, pragya medha singing, baby pragya medha"
2020-01-10 , 11:30:15,2020-01-10 11:30:1578655800,SA,https://www.facebook.com/1954072204870360/posts/2549937911950450/,Air Conditioners To Be Set At Default Temperature,"अब से एसी में 24 डिग्री पर सेट रहेगा तापमान, जानिए सरकार ने क्यों उठाया ये कदम

Bureau of Energy Efficiency Ministry of Environment, Forest & Climate Change, Government of India",Science & Tech,Science & Tech*,,,Government,Science & Tech,Tech Update specific for Tech,," Tech, Policies/Norms/Rules", Policies/Norms/Rules,Informative,,Informative,text only (to),other,Object (AC),neutral,Yes,square,,Object,Neutral ,,,"Water Conservation, AC, Air Conditioner, Bureau of Enegry Efficiency, Default temparature in ACs, 24 degree celsius in AC"
2020-01-09 , 06:30:15,2020-01-09 06:30:1578551400,SA,https://www.facebook.com/1954072204870360/posts/2548981535379421/,Travel In Tejas Express And Get Your House Insured,"घर में चोरी होने पर क्यों मुआवजा देगी आईआरसीटीसी?

Ministry of Railways, Government of India",Travel,Travel,,,Government,Travel,Policy/ Update in norms,Some existing norms are updated or new norms are introduced in some sector,"Policies/Norms/Rules, Railways",Policies/Norms/Rules,Informative,,Informative, common voice (optv),commoner (np),,relevant,,square,,Commoner,Happy ,,,"Tejas express, railway ministry, House insurance, robbery, IRCTC"
2020-01-10 , 09:30:15,2020-01-10 09:30:1578648600,SP,https://www.facebook.com/1954072204870360/posts/2550730715204503/,200 Visually Challenged Athletes Participate In Marathon,"कहां 200 नेत्रहिन एथलीट के लिए आयोजित हुई स्पेशल मैराथॉन? 

Pinkathon",Sports & Games,Sports & Games,,,Sports & Games,Event,,,"Differently Abled, Athlete","X-Factor, Other Sports",Informative,,"Event, Inspiring",text only (to),other,Event location,relevant,,square,,Crowd,"Happy, Action",,,"Visually impaired athletes in Marathon, Mumbai Marathon, Pinkathon, Blind Athletes"
2020-01-07 , 15:00:15,2020-01-07 15:00:1578409205,SP,https://www.facebook.com/1954072204870360/posts/2548036172140624/,Fact File - Events That Led To Violence In JNU,"जेएनयू में कब, क्या हुआ?",Daily NEWJ,Crime,,,Judiciary & Crime,Viral,,,"Violence, Facts, Educational Institute","Crime, Facts",Trending,,"Informative, Controversial", common voice (optv),commoner (np),,no music,,square,,Crowd,Anger,,,"JNU, JNU Violence, JNU mob attack, ABVP and AISA, Leftists, right wing"
2020-01-06 , 15:00:15,2020-01-06 15:00:1578322806,DV,https://www.facebook.com/NEWJplus/videos/834313456991810/,Who was Irani General Qassem Soleimani?,कौन थे अमेरिकी हमले में मारे गए जनरल कासिम सुलेमानी?,Foreign Affairs,Foreign Affairs,,,Global News,People,,,"Army, Famous Personality","Army, Famous Personality",Profile,,"General, Profile",text only (to),other,Attack visuals/ Visual related to story,neutral,,square,,Famous Personality,Neutral ,Qassem Soleimani,Politics,"Tehran, Iran, Baghdad, Iraq, Qassem Suleimani, Soleimani Assassination, Donald Trump, US Air Strike"
2020-01-07 , 09:30:15,2020-01-07 09:30:1578389400,SP,https://www.facebook.com/1954072204870360/posts/2547763365501238/,Australian Bushfire Causes Devastating Impact On Its Wildlife,ऑस्ट्रेलिया में लगी आग से 50 करोड़ जानवरों की मौत,Environment,Environment,,,Global News,Environment,Global News/Info,Any story or news across the globe,"Calamity, Animals","crisis, Animals",Trending,,"Trending, Emotional, Scary", common voice (optv),commoner (np),,no music,,square,,"Nature, Animal",Neutral ,,,not editable
2020-01-06 , 11:00:15,2020-01-06 11:00:1578308405,SA,https://www.facebook.com/1954072204870360/posts/2546812465596328/,Nankana Sahib Attack's Main Accuse Imran Chisti Gets Arrested,पाकिस्तान में क्यों सुरक्षित नहीं है अल्पसंख्यक?,Crime,Crime,,,Global News,Foreign Affairs,Global News/Info,Any story or news across the globe,"Religion,  Violence, Famous Personality","Religion,  Crime, Famous Personality",Trending,,"Trending, Controversial", common voice (optv),Crowd,,no music,,square,,Crowd,Anger,,,"Punjab (region), Pakistan, nankana Sahib, Nankana Sahib Violence, Mob attack on Nankana Sahib, Sikh girl in Pakistan, Minorities in pakistan"
2020-01-11 , 09:30:15,2020-01-11 09:30:1578735000,DV,https://www.facebook.com/1954072204870360/posts/2550744891869752/,An Innovative Mini Car With Worth Just Rs 56000,"कभी स्कूल नहीं गए बवर सिंह ने कैसे ₹56,000 में  बना दी कार?

Skill India",Inventions / Innovations,Science & Tech*,,,Technology & Innovations,Science & Tech,,,"Tech, Innovation",Person specific,Informative,,General ,text only (to),other,Men riding jeep,relevant,,square,,Commoner,Neutral ,,,"Ludhiana, Punjab, India, Mini Car, Bawar Singh, Skill India, Small Car, Nano car"
2020-01-07 , 06:30:15,2020-01-07 06:30:1578378600,SP,https://www.facebook.com/1954072204870360/posts/2547679608842947/,Gautam Gambhir Installs India's First Smog Tower In Delhi,"कैसे दिल्ली का प्रदूषण अब 80 फीसदी तक होने जा रहा है कम?

Gautam Gambhir",Environment,Environment,,,Environment/Ecosystem,Sports & Games,Personality,Any famous personality,"Tech, Pollution, Famous Personality","Crisis, Famous Personality",Informative,,Informative,text only (to),other,Object in question / Object about which the video is/ Air purifier,neutral,,square,,Object,Neutral ,,,"Delhi, New Delhi, delhi Smog tower, Gautam Gambhir smog tower, Air Pollution in Delhi, Delhi pollution, Air Quality"
2020-01-06 , 09:37:15,2020-01-06 09:37:1578303460,SP,https://www.facebook.com/1954072204870360/posts/2546799592264282/,Several Students Left Injured As Violence Break Out In JNU Campus,अब जेएनयू में हुआ कौन सा विवाद?,Crime,Crime,,,Judiciary & Crime,Crime,,,"Violence, Educational Institute","Crime, News",Controversial,,"Emotional, Scary", common voice (optv),commoner (np),,no music,,square,,Commoner,"Anger, Action",,,"JNU Under Attack, JNU Attack, JNU Mob attack, ABVP attack JNU, Masked goons inside JNU, CAA protest, Left attack JNU, CAA NRC protest"
2020-01-07 , 03:30:15,2020-01-07 03:30:1578367800,DV,https://www.facebook.com/1954072204870360/posts/2546921442252097/,BJP Launches a Nationwide Campaign To Support CAA,"दिल्ली की गलियों में घूमे अमित शाह, नागरिकता कानून के समर्थन में बीजेपी ने शुरु किया अभियान

Bharatiya Janata Party (BJP)",Politics,Government,,,Government,Politics*,,,"Protests/Rallies, Laws","Protests/Rallies, Judicial",Controversial,,Controversial,Crowd,Crowd,,low,,square,,Famous Personality,Happy ,Amit Shah,Politics,"CAA support Campaign, Amit Shah, Support CAA, BJP toll free number, CAA protest, Citizenship Amendment Act"
2020-01-08 , 03:30:15,2020-01-08 03:30:1578454200,DB,https://www.facebook.com/1954072204870360/posts/2547815268829381/,Fan Makes Virat Kohli's Portrait Using Old Mobile Phones And Wires,"विराट के फैन ने पुराने मोबाइल से कैसे बनाई उनकी खास तस्वीर?

Virat Kohli",Sports & Games,Art,,,Skill & Art ,Sports & Games,Fans,"Fans videos, Fan Art, anything related to fans of famous personality","Fans, Cricket, Creative Skill","Cricket, Visual Arts, X-factor",Trending,,Trending,text only (to),famous personality (fp),,relevant,,square,,Famous Personality,Neutral ,Virat Kohli,Sport,"Test Cricket & First-Class Cricket, Cricket, Virat Kohli portrait, King Kohli fans, Kohli fan makes his portrait, Guwahati, Virat Kohli's portrait"
2020-01-03 , 11:05:15,2020-01-03 11:05:1578049500,SP,https://www.facebook.com/1954072204870360/posts/2543701089240799/,Narendra Modi Once Again Shows His Class In Front Of A Large Audience By Touching A Woman's Feet,"क्यों महिला के सामने झुके पीएम मोदी?

Narendra Modi Bharatiya Janata Party (BJP)",Politics,Politics*,,,Politics,People,,,"Famous Personality, Political",Famous Personality,Trending,,Trending,text only (to),famous personality (fp),,relevant,,square,,Famous Personality,Neutral ,Narendra Modi,Politics,"Narendra Modi, BJP, Respect, Audience"
2020-01-04 , 03:35:15,2020-01-04 03:35:1578108900,AK,https://www.facebook.com/1954072204870360/posts/2543690275908547/,Sachin Tendulkar Shares An Inspirational Video Of A Disabled Cricketer,"कौन है वो दिव्यांग क्रिकेटर जिसका खेल देख दंग रह गए सचिन तेंदुलकर ?

Sachin Tendulkar",Sports & Games,Sports & Games,,"Any person with talent which is worth appreciation, For eg: talent of diabled people, artists, children",Others,Sports & Games,,,"Differently abled, Cricket, Famous Personality","Person Specific, Cricket, X-Factor",Trending,,"Trending, Inspiring",text only (to),commoner (np),,neutral,,square,,Commoner,Neutral ,,,"Sachin Tendulkar, Disabled Cricketer, Cricketer, Inspiration, Sports, motivation"
2020-01-03 , 06:35:15,2020-01-03 06:35:1578033300,,https://www.facebook.com/1954072204870360/posts/2543599709250937/,ISRO Director Plays Flute During A Commitee Meeting,"विज्ञान के अलावा किस कला में माहिर हैं इसरो के ये डायरेक्टर? 

ISRO - Indian Space Research Organisation",Government,Science & Tech*,,,Technology & Innovations,Science & Tech,,,"Famous Personality, Music, ISRO","Famous Personality, Music",Informative,,"General, Entertaining ",other,famous personality (fp),,no music,,square,,Famous Personality,Action,Kailasavadivoo Sivan,Science & Tech,"Flutes, Space, ISRO, Instrument, Director"
2020-01-03 , 15:05:15,2020-01-03 15:05:1578063901,SP,https://www.facebook.com/1954072204870360/posts/2543648599246048/,Job Of The Newly Formed 5th Division DMA,"क्या काम करेगा रक्षा मंत्रालय का 5वां विभाग डीएमए? जिसके चीफ हैं जनरल बिपिन रावत

ADGPI - Indian Army",Garv,Police-Army,,,Forces,Police-Army,,,"Army, Facts","Army, Facts",Informative,,Informative,text only (to),famous personality (fp),,neutral,,square,,Famous Personality,Happy ,Bipin Rawat,Army,"Indian Army, Bipin Rawat, Indian Navy, Indian Air Force, Chief Of Defence"
2020-01-02 , 15:00:15,2020-01-02 15:00:1577977205,AK,https://www.facebook.com/1954072204870360/posts/2542914882652753/,Modi Govt Announces Rs 102 Lakh Crores To Boost Infrastructure,"क्या है मोदी सरकार का 5 ट्रिलियन इकोनॉमी बनाने का प्लान?

Nirmala Sitharaman Ministry of Finance, Government of India",Economy,Economy,,,Government,Daily NEWJ*,,,"Economy/Economic, Budget, News","Economy/Economic,  News",Informative,,Informative,text only (to),other,Buildings,neutral,,square,,Famous Personality,Happy ,Nirmala Sitharaman,Politics,"Infrastructure, Nirmala Sitharaman, 102 Lakh Crore investment, Indian Economy, 5 Trillion Economy, Narendra Modi, Nirmala Sitharaman News"
2020-01-02 , 11:57:15,2020-01-02 11:57:1577966272,DV,https://www.facebook.com/1954072204870360/posts/2542698386007736/,Pope Francis Slaps a Woman's Hand Who Tried To Pull Him,क्यों नए साल पर आया पोप को गुस्सा?,Undefined,Daily NEWJ*,,,Global News,Viral,,," Religion, Famous Personality"," Religion, Famous Personality",Controversial,,"Controversial, Viral", common voice (optv),Crowd,,no music,,square,,Commoner,Happy ,,,"Vatican City, Pope, Pope francis slaps woman's hand, Pope apologizes, Pope Francis apologizes, Pope Francis new year prayer"
2020-01-04 , 09:30:15,2020-01-04 09:30:1578130200,SP,https://www.facebook.com/1954072204870360/posts/2543637219247186/,Moradabad Railway Station Installs Biodegradable Plants To Save Environment,मुरादाबाद पर स्टेशन के कचरे से कैसे हरे-भरे हो रहे हैं  पेड़-पौधे?,Environment,Environment,,,Environment/Ecosystem,Environment,,,"Railways, Pollution, Conservation"," Crisis, Conservation",Informative,,General ,text only (to),commoner (np),,neutral,,square,,Commoner,Neutral ,,,"Moradabad, Biodegradable, plants, Railway Station, Environment"
2020-01-03 , 03:30:15,2020-01-03 03:30:1578022200,SP,https://www.facebook.com/1954072204870360/posts/2542795045998070/,Infant Death Toll Rises Over 100 At Kota Hospital,"कोटा में 100 बच्चों की मौत के बावजूद जारी है प्रशासन की लापरवाही

Ministry of Health and Family Welfare",Health & Fitness,Health,,,Government,Daily NEWJ*,,,"Health, Census, News","Health, News",Shocking/Surprising,,Shocking/Surprising, common voice (optv),commoner (np),,no music,,square,,Building/ Factory,Neutral ,,,"Kota, Rajasthan, Kota infant death, infant mortality, Kota JK Hospital, jk lon hospital infant deaths, death toll, om birla"
2020-01-02 , 08:39:15,2020-01-02 08:39:1577954370,AK,https://www.facebook.com/1954072204870360/posts/2542725459338362/,ISRO Plans Key Missions In 2020,"कैसे होगा 2020 इसरो का साल?

ISRO - Indian Space Research Organisation",Science & Tech,Government,,,Government,Science & Tech,,,"ISRO, Policies/Norms/Rules, News"," Policies/Norms/Rules, News",Informative,,Informative,text only (to),other,space aircraft,relevant,Yes,square,,Object,Action,,,"Space, ISRO, Chandrayaan 3, Chandrayaan, Moon Mission, Gagan Yaan, Man Mission, K Sivan"
2020-01-06 , 03:35:15,2020-01-06 03:35:1578281701,AK,https://www.facebook.com/1954072204870360/posts/2543966789214229/,Kapil Dev - The Man Who Led India To The First Ever Cricket World Cup,"टीम इंडिया को पहली बार वर्ल्ड कप जीताने वाले कप्तान कपिल देव का आज है जन्मदिन

Indian Cricket Team Ranveer Singh",Garv,Sports & Games,,,Sports & Games,People,,,"Famous Personality, Cricket","Famous Personality, Cricket",Inspiring,,"Inspiring, Informative",other,famous personality (fp),,relevant,Yes,square,,Famous Personality,Happy ,Kapil Dev,Sport,"Indian Cricket Team, Team India, 1983, Cricket World Cup"
2020-01-05 , 09:30:15,2020-01-05 09:30:1578216615,VA,https://www.facebook.com/1954072204870360/posts/2544053769205531/,#SundayStruggle - Superstar Amitabh Bachchan And His Journey,"कई सारे rejection के बावजूद कैसे सदी के महानायक बने Amitabh Bachchan

Amitabh Bachchan

(via फिल्मी NEWJ)",Filmy,Filmy*,,,Entertainment,People,,,"Famous Personality, Bollywood","Famous Personality, Bollywood",Profile,,Profile, voice of famous personality (fpv),famous personality (fp),,low,Yes,square,,Famous Personality,Happy ,Amitabh Bachchan,film,not editable
2020-01-05 , 03:35:15,2020-01-05 03:35:1578195300,EB,https://www.facebook.com/1954072204870360/posts/2544041572540084/,Happy Birthday Mamata Banerjee - The Woman To Change The Face Of West Bengal,"मां, माटी, मानुष की राजनीति करने वाली ममता

 All India Trinamool Congress",Politics,Politics*,,,Politics,People,,,"Anniversary, Famous Personality",Famous Personality,Day-specific,,"Day-specific, Profile",text only (to),famous personality (fp),,neutral,Yes,square,,Famous Personality,Action,Mamta Banerjee,Politics,"West Bengal, mamata banerjee, trinamool congress, POlitics, politician"
2020-01-04 , 06:35:15,2020-01-04 06:35:1578119700,AK,https://www.facebook.com/1954072204870360/posts/2543763025901272/,The Unique Mosque And Its Unique Beliefs,"ये है इकलौती ऐसी दरगाह जहां फूल नहीं बल्कि पत्थर चढ़ाते हैं, क्या है इसकी वजह?",Travel,Dharohar*,,,Places,Place,,,"Religious Place, Beliefs","Religion, Facts",Shocking/Surprising,,Shocking/Surprising,text only (to),other,Darga (Masjid),neutral,Yes,square,,Commoner,Neutral ,,,"God, Mosque, Worship, Stones, Unique, Belief"
2020-01-04 , 12:30:15,2020-01-04 12:30:1578141000,SP,https://www.facebook.com/1954072204870360/posts/2543917099219198/,This Old Man Created A Museum With His Old Collections,"पुराने सामान को संजोकर रखने का था शौक, देखते ही देखते घर बन गया म्यूजियम",Art,Art,,,Skill & Art ,People,,,"X-Factor, Person Specific","X-Factor, Person Specific",Shocking/Surprising,,"Shocking/Surprising, Inspiring",text only (to),commoner (np),,neutral,Yes,square,,Commoner,Happy ,,,"Museums, Old Man, Collection, Unique, Motivation, Inspiring"
2019-12-30 , 11:53:15,2019-12-30 11:53:1577706836,SP,https://www.facebook.com/1954072204870360/posts/2539490079661900/,General Bipin Rawat Set To Become India's First Chief Of Defence,"बिपिन रावत होंगे देश के पहले चीफ ऑफ डिफेंस स्‍टाफ, क्यों जरुरी था ये पद?

ADGPI - Indian Army | Indian Air Force | Indian Navy Ministry of Defence, Government of India",Garv,Proud Stories/Garv*,,,Forces,People,,,"Army, Famous Personality, News","Army, Famous Personality, News",Informative,,General ,text only (to),famous personality (fp),,relevant,Yes,square,,Famous Personality,Proud,Bipin Rawat,Army,not editable
2019-12-30 , 07:30:15,2019-12-30 07:30:1577691000,AK,https://www.facebook.com/1954072204870360/posts/2539277393016502/,When Shahid Afridi Broke His Own TV Set,"पहले मैच हारने पर टूटते थे टीवी, शाहीद अफरीदी ने आरती सुन तोड़ा टीवी",Sports & Games,Sports & Games,,,Sports & Games,People,,,"Famous Personality, Cricket","Famous Personality, Cricket",Shocking/Surprising,,Shocking/Surprising, voice of famous personality (fpv),famous personality (fp),,low,Yes,square,,Famous Personality,Happy ,Shahid Afridi,Sport,"Shahid Afridi broke his TV, Shahid Afridi on Indian serials, Shahid Afridi shows his real face, Shahid Afridi breaks his tv set, Shahid Afridi's daughter, Shahid Afridi interview"
2019-12-31 , 06:30:15,2019-12-31 06:30:1577773800,SP,https://www.facebook.com/1954072204870360/posts/2539290943015147/,Social Media Goes Gaga Over Elderly Couple's Marriage,"67 का दूल्हा, 65 की दुल्हन, सोशल मीडिया पर ट्रेंड करने लगा ये 'नवदंपति'",Lifestyle,Lifestyle,,,Lifestyle,People,,,Person Specific,Person Specific,Trending,,Trending,text only (to),other,Old couple marriage,relevant,Yes,square,,Commoner,Happy ,,,"Kerala, Kerala Couple marry, Kerala couple old-age home, Cute kerala old couple, Old age couple gets married in old age home, old couple wedding in kerala"
2019-12-30 , 15:00:15,2019-12-30 15:00:1577718005,SA,https://www.facebook.com/1954072204870360/posts/2539520352992206/,NEWJ Rewinds 2019 - Leaders Who Bid Us Adieu,"2019 में इन नेताओं ने कहा हमें अलविदा

#NEWJRewinds2019

Bharatiya Janata Party (BJP) | Indian National Congress",Politics,Politics*,,,Politics,People,,,Famous Personality,Famous Personality,Compilation,,"Compilation, Emotional",text only (to),famous personality (fp),,neutral,Yes,square,,Famous Personality,Happy ,"Sushma Swaraj, Sheila Dixit",Politics,"Indian National Congress, Sushma Swaraj, Sheela Dixit, Manohar Parrikar, Arun Jaitley, George Fernandes, BJP"
2019-12-27 , 11:30:15,2019-12-27 11:30:1577446200,SP,https://www.facebook.com/1954072204870360/posts/2536236403320601/,Farmer Builds PM Modi's Temple In Tiruchirappalli,"तमिलनाडु के किसान ने बनाया प्रधानमंत्री मोदी का मंदिर, सुबह-शाम करता है आरती

Narendra Modi",Politics,Undefined,,,Politics,People,,,"Political, Famous Personality, Famous Personality","Famous Personality, Person Specific",Shocking/Surprising,,Shocking/Surprising,text only (to),famous personality (fp),,neutral,Yes,square,,Famous Personality,Happy ,Narendra Modi,Politics,"Tiruchchirappalli, Tamil Nadu, Modi temple, Narendra modi temple in tiruchirappalli, farmer builds modi temple"
2019-12-27 , 09:49:15,2019-12-27 09:49:1577440161,AK,https://www.facebook.com/1954072204870360/posts/2536317359979172/,Shoaib Akhtar Exposes Pakistan Cricket Team's Discriminatory Policy,"शोएब अख्तर ने खोली पाकिस्तान की पोल, बोले - हिंदू होने के कारण दानिश को नहीं मिलता था मौका

Shoaib Akhtar",Sports & Games,Sports & Games,,,Sports & Games,Daily NEWJ*,,,"News, Cricket, Famous Personality","News, Cricket, Famous Personality",Shocking/Surprising,,Shocking/Surprising, voice of famous personality (fpv),famous personality (fp),,neutral,Yes,square,,Famous Personality,Sad,"Danish Kaneria, Shoaib Akhtar",Sport,"Danish kaneria, Shoaib Akthar on Danish Kaneria, Pakistani spinner Danish Kaneria, Danish kaneria match-fixing, Shoaib Akhtar videos, Shoaib akhtar shows danish kaneria incident"
2019-12-28 , 15:00:15,2019-12-28 15:00:1577545203,SA,https://www.facebook.com/1954072204870360/posts/2536444163299825/,NEWJ Rewinds 2019 - Top 10 Wealthiest Indians,"2019 में कौन रहें भारत के 10 सबसे अमीर लोग? 

#NEWJRewinds2019",Business & Money,Business & Money,,,Business,People,,,"Economy/Economic, Famous Personality ","Economy/Economic, Famous Personality ",Compilation,,Compilation,text only (to),famous personality (fp),,neutral,Yes,square,,Famous Personality,"Happy, Proud",Mukesh Ambani,Business,"Mukesh Ambani, Gautam Adani, Azim Premji, Cyrus Mistry, Shapoorji Pallonji Mistry, Richest Indians of 2019, Wealthiest Indians in 2019"
2019-12-29 , 03:30:15,2019-12-29 03:30:1577590200,SP,https://www.facebook.com/1954072204870360/posts/2536175149993393/,Ramanand Sagar - Indian Television's Showman,देश को टीवी पर पहली बार रामायण दिखाने वाले रामानंद सागर का आज है जन्मदिन,X Do not use X Entertainment,Filmy*,,,Entertainment,People,,,"Digital/TV, Famous Personality","Digital/TV, Famous Personality",Profile,,Profile,text only (to),famous personality (fp),,no music,No,square,,Famous Personality,Action,Ramanand Sagar ,film,"Ramanand Sagar, Ramayan, TV show Ramayan, Ramanand Sagar Ramayan, Indian television, Ramayan and Mahabharat, best tv show, Lord Rama"
